opt_code,school_year,school_name,longitude,latitude,city,how_long_delayed
03811,2015-2016,DWIGHT SCHOOL-RIVERSIDE CAMPUS,-73.98878,40.776774,Manhattan,46-60 Min
03811,2015-2016,DWIGHT SCHOOL-RIVERSIDE CAMPUS,-73.98878,40.776774,Manhattan,31-45 Min
03811,2015-2016,DWIGHT SCHOOL-RIVERSIDE CAMPUS,-73.98878,40.776774,Manhattan,16-30 Min
03813,2015-2016,COLUMBIA GRAMMAR & PREP SCH,-73.966521,40.790011,Manhattan,31-45 Min
03813,2015-2016,COLUMBIA GRAMMAR & PREP SCH,-73.966521,40.790011,Manhattan,46-60 Min
03813,2015-2016,COLUMBIA GRAMMAR & PREP SCH,-73.966521,40.790011,Manhattan,16-30 Min
03813,2015-2016,COLUMBIA GRAMMAR & PREP SCH,-73.966521,40.790011,Manhattan,0-15 Min
03814,2015-2016,THE DWIGHT SCHOOL,-73.968719,40.787459,Manhattan,16-30 Min
03814,2015-2016,THE DWIGHT SCHOOL,-73.968719,40.787459,Manhattan,46-60 Min
03814,2015-2016,THE DWIGHT SCHOOL,-73.968719,40.787459,Manhattan,31-45 Min
03814,2015-2016,THE DWIGHT SCHOOL,-73.968719,40.787459,Manhattan,61-90 Min
03816,2015-2016,COLLEGIATE SCHOOL (LOWER),-73.981025,40.783297,Manhattan,31-45 Min
03816,2015-2016,COLLEGIATE SCHOOL (LOWER),-73.981025,40.783297,Manhattan,16-30 Min
03816,2015-2016,COLLEGIATE SCHOOL (LOWER),-73.981025,40.783297,Manhattan,46-60 Min
03816,2015-2016,COLLEGIATE SCHOOL (LOWER),-73.981025,40.783297,Manhattan,61-90 Min
03816,2015-2016,COLLEGIATE SCHOOL (LOWER),-73.981025,40.783297,Manhattan,0-15 Min
03820,2015-2016,ETHICAL CULTURE SCHOOL,-73.980064,40.77077,Manhattan,46-60 Min
03820,2015-2016,ETHICAL CULTURE SCHOOL,-73.980064,40.77077,Manhattan,0-15 Min
03820,2015-2016,ETHICAL CULTURE SCHOOL,-73.980064,40.77077,Manhattan,31-45 Min
03820,2015-2016,ETHICAL CULTURE SCHOOL,-73.980064,40.77077,Manhattan,16-30 Min
03820,2015-2016,ETHICAL CULTURE SCHOOL,-73.980064,40.77077,Manhattan,61-90 Min
03825,2015-2016,STEPHEN GAYNOR SCHOOL,-73.971217,40.789339,Manhattan,16-30 Min
03825,2015-2016,STEPHEN GAYNOR SCHOOL,-73.971217,40.789339,Manhattan,31-45 Min
03825,2015-2016,STEPHEN GAYNOR SCHOOL,-73.971217,40.789339,Manhattan,0-15 Min
03825,2015-2016,STEPHEN GAYNOR SCHOOL,-73.971217,40.789339,Manhattan,46-60 Min
03825,2015-2016,STEPHEN GAYNOR SCHOOL,-73.971217,40.789339,Manhattan,61-90 Min
03829,2015-2016,ALEXANDER ROBERTSON SCH,-73.965577,40.791255,Manhattan,46-60 Min
03829,2015-2016,ALEXANDER ROBERTSON SCH,-73.965577,40.791255,Manhattan,16-30 Min
03829,2015-2016,ALEXANDER ROBERTSON SCH,-73.965577,40.791255,Manhattan,31-45 Min
03829,2015-2016,ALEXANDER ROBERTSON SCH,-73.965577,40.791255,Manhattan,0-15 Min
03841,2015-2016,ROBERT L. STEVENSON SCHOOL,-73.975929,40.777829,Manhattan,46-60 Min
03841,2015-2016,ROBERT L. STEVENSON SCHOOL,-73.975929,40.777829,Manhattan,0-15 Min
03841,2015-2016,ROBERT L. STEVENSON SCHOOL,-73.975929,40.777829,Manhattan,16-30 Min
03841,2015-2016,ROBERT L. STEVENSON SCHOOL,-73.975929,40.777829,Manhattan,31-45 Min
03841,2015-2016,ROBERT L. STEVENSON SCHOOL,-73.975929,40.777829,Manhattan,61-90 Min
03850,2015-2016,YORK PREPARATORY SCHOOL,-73.97907,40.774084,Manhattan,46-60 Min
03850,2015-2016,YORK PREPARATORY SCHOOL,-73.97907,40.774084,Manhattan,0-15 Min
03850,2015-2016,YORK PREPARATORY SCHOOL,-73.97907,40.774084,Manhattan,61-90 Min
03850,2015-2016,YORK PREPARATORY SCHOOL,-73.97907,40.774084,Manhattan,31-45 Min
03850,2015-2016,YORK PREPARATORY SCHOOL,-73.97907,40.774084,Manhattan,16-30 Min
03852,2015-2016,M.S.250,-73.973382,40.795192,Manhattan,0-15 Min
03852,2015-2016,M.S.250,-73.973382,40.795192,Manhattan,46-60 Min
03852,2015-2016,M.S.250,-73.973382,40.795192,Manhattan,31-45 Min
03852,2015-2016,M.S.250,-73.973382,40.795192,Manhattan,16-30 Min
03852,2015-2016,M.S.250,-73.973382,40.795192,Manhattan,61-90 Min
03853,2015-2016,MANHATTAN SCHOOL FOR CHILDREN,-73.970489,40.791489,Manhattan,31-45 Min
03853,2015-2016,MANHATTAN SCHOOL FOR CHILDREN,-73.970489,40.791489,Manhattan,61-90 Min
03853,2015-2016,MANHATTAN SCHOOL FOR CHILDREN,-73.970489,40.791489,Manhattan,0-15 Min
03853,2015-2016,MANHATTAN SCHOOL FOR CHILDREN,-73.970489,40.791489,Manhattan,16-30 Min
03853,2015-2016,MANHATTAN SCHOOL FOR CHILDREN,-73.970489,40.791489,Manhattan,46-60 Min
03856,2015-2016,M.S.256,-73.970489,40.791489,Manhattan,31-45 Min
03856,2015-2016,M.S.256,-73.970489,40.791489,Manhattan,16-30 Min
03856,2015-2016,M.S.256,-73.970489,40.791489,Manhattan,0-15 Min
03856,2015-2016,M.S.256,-73.970489,40.791489,Manhattan,61-90 Min
03856,2015-2016,M.S.256,-73.970489,40.791489,Manhattan,46-60 Min
03858,2015-2016,M.S.258,-73.970489,40.791489,Manhattan,46-60 Min
03858,2015-2016,M.S.258,-73.970489,40.791489,Manhattan,31-45 Min
03858,2015-2016,M.S.258,-73.970489,40.791489,Manhattan,61-90 Min
03858,2015-2016,M.S.258,-73.970489,40.791489,Manhattan,16-30 Min
03858,2015-2016,M.S.258,-73.970489,40.791489,Manhattan,0-15 Min
03861,2015-2016,SOLOMON SCHECTER SCH.OF MAN.,-73.96589,40.794924,Manhattan,16-30 Min
03861,2015-2016,SOLOMON SCHECTER SCH.OF MAN.,-73.96589,40.794924,Manhattan,46-60 Min
03861,2015-2016,SOLOMON SCHECTER SCH.OF MAN.,-73.96589,40.794924,Manhattan,0-15 Min
03861,2015-2016,SOLOMON SCHECTER SCH.OF MAN.,-73.96589,40.794924,Manhattan,61-90 Min
03861,2015-2016,SOLOMON SCHECTER SCH.OF MAN.,-73.96589,40.794924,Manhattan,31-45 Min
03862,2015-2016,MOTT HALL II  (MS 862),-73.965424,40.80275,Manhattan,46-60 Min
03862,2015-2016,MOTT HALL II  (MS 862),-73.965424,40.80275,Manhattan,31-45 Min
03862,2015-2016,MOTT HALL II  (MS 862),-73.965424,40.80275,Manhattan,16-30 Min
03862,2015-2016,MOTT HALL II  (MS 862),-73.965424,40.80275,Manhattan,61-90 Min
03862,2015-2016,MOTT HALL II  (MS 862),-73.965424,40.80275,Manhattan,0-15 Min
03864,2015-2016,FUTURE LEADERS INSTITUTE,-73.948056,40.80623,Manhattan,31-45 Min
03864,2015-2016,FUTURE LEADERS INSTITUTE,-73.948056,40.80623,Manhattan,46-60 Min
03864,2015-2016,FUTURE LEADERS INSTITUTE,-73.948056,40.80623,Manhattan,16-30 Min
03864,2015-2016,FUTURE LEADERS INSTITUTE,-73.948056,40.80623,Manhattan,61-90 Min
03864,2015-2016,FUTURE LEADERS INSTITUTE,-73.948056,40.80623,Manhattan,0-15 Min
03867,2015-2016,THE SCH AT COLUMBIA UNIVERSITY,-73.96542,40.80353,Manhattan,0-15 Min
03867,2015-2016,THE SCH AT COLUMBIA UNIVERSITY,-73.96542,40.80353,Manhattan,46-60 Min
03867,2015-2016,THE SCH AT COLUMBIA UNIVERSITY,-73.96542,40.80353,Manhattan,61-90 Min
03867,2015-2016,THE SCH AT COLUMBIA UNIVERSITY,-73.96542,40.80353,Manhattan,31-45 Min
03867,2015-2016,THE SCH AT COLUMBIA UNIVERSITY,-73.96542,40.80353,Manhattan,16-30 Min
03896,2015-2016,INTER ACAD OF HOPE  (I HOPE),-73.950093,40.802294,Manhattan,0-15 Min
03896,2015-2016,INTER ACAD OF HOPE  (I HOPE),-73.950093,40.802294,Manhattan,46-60 Min
03896,2015-2016,INTER ACAD OF HOPE  (I HOPE),-73.950093,40.802294,Manhattan,16-30 Min
03896,2015-2016,INTER ACAD OF HOPE  (I HOPE),-73.950093,40.802294,Manhattan,61-90 Min
03896,2015-2016,INTER ACAD OF HOPE  (I HOPE),-73.950093,40.802294,Manhattan,31-45 Min
03910,2015-2016,THE GATEWAY SCHOOL OF NY,-73.987267,40.772006,Manhattan,0-15 Min
03910,2015-2016,THE GATEWAY SCHOOL OF NY,-73.987267,40.772006,Manhattan,61-90 Min
03910,2015-2016,THE GATEWAY SCHOOL OF NY,-73.987267,40.772006,Manhattan,16-30 Min
